Player,Team,Position,Nhom
Aaron Cresswell,West Ham,DF,0
Aaron Ramsdale,Southampton,GK,0
Aaron WanBissaka,West Ham,DF,1
Abdoulaye Doucouré,Everton,MF,1
Abdukodir Khusanov,Manchester City,DF,0
Abdul Fatawu Issahaku,Leicester City,FW,0
Adam Armstrong,Southampton,"FW,MF",0
Adam Lallana,Southampton,MF,0
Adam Smith,Bournemouth,DF,0
Adam Webster,Brighton,DF,0
Adam Wharton,Crystal Palace,MF,1
Adama Traoré,Fulham,"FW,MF",1
Albert Grønbaek,Southampton,"FW,MF",0
Alejandro Garnacho,Manchester Utd,"MF,FW",1
Alex Iwobi,Fulham,"FW,MF",1
Alex McCarthy,Southampton,GK,0
Alex Palmer,Ipswich Town,GK,0
Alex Scott,Bournemouth,MF,0
Alexander Isak,Newcastle Utd,FW,1
Alexis Mac Allister,Liverpool,MF,1
Ali Al Hamadi,Ipswich Town,FW,0
Alisson,Liverpool,GK,0
Alphonse Areola,West Ham,GK,1
Altay Bayındır,Manchester Utd,GK,1
Amad Diallo,Manchester Utd,"FW,MF",1
Amadou Onana,Aston Villa,MF,1
Andreas Pereira,Fulham,MF,1
Andrew Robertson,Liverpool,DF,0
André,Wolves,MF,0
André Onana,Manchester Utd,GK,0
Andrés García,Aston Villa,"DF,MF",1
Andy Irving,West Ham,MF,1
Anthony Elanga,Nott'ham Forest,"FW,MF",1
Anthony Gordon,Newcastle Utd,FW,1
Antoine Semenyo,Bournemouth,FW,0
Antonee Robinson,Fulham,DF,0
Antony,Manchester Utd,"DF,MF",0
Antonín Kinský,Tottenham,GK,0
Archie Gray,Tottenham,"DF,MF",0
Arijanet Muric,Ipswich Town,GK,0
Armando Broja,Everton,FW,1
Armel Bella Kotchap,Southampton,DF,0
Ashley Young,Everton,"DF,FW",0
Axel Disasi,Aston Villa,DF,0
Axel Tuanzebe,Ipswich Town,DF,0
Ayden Heaven,Manchester Utd,DF,0
Bart Verbruggen,Brighton,GK,0
Ben Brereton,Southampton,FW,0
Ben Chilwell,Crystal Palace,DF,1
Ben Davies,Tottenham,DF,0
Ben Godfrey,Ipswich Town,DF,0
Ben Johnson,Ipswich Town,"DF,FW",0
Ben Mee,Brentford,DF,1
Ben White,Arsenal,DF,0
Benoît Badiashile,Chelsea,DF,1
Bernardo Silva,Manchester City,"MF,FW",0
Bernd Leno,Fulham,GK,0
Beto,Everton,FW,1
Bilal El Khannouss,Leicester City,MF,1
Billy Gilmour,Brighton,MF,0
Bobby De CordovaReid,Leicester City,FW,1
Boubacar Kamara,Aston Villa,MF,1
Boubakary Soumaré,Leicester City,MF,1
Brajan Gruda,Brighton,"FW,MF",1
Brennan Johnson,Tottenham,FW,1
Bruno Fernandes,Manchester Utd,MF,0
Bruno Guimarães,Newcastle Utd,MF,1
Bryan Mbeumo,Brentford,FW,0
Bukayo Saka,Arsenal,"FW,MF",0
Caleb Okoli,Leicester City,DF,1
