Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-145,1989,7.5,12,1.60,5,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Ramsdale,420,engENG,GK,Southampton,26-360,1998,27.0,3,0.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,537,engENG,DF,West Ham,27-164,1997,32.0,85,2.65,68,4,7,3,1,2,8,0.25,7,0,0,1,0,0,Matches
Abdoulaye Doucouré,146,mlMLI,MF,Everton,32-128,1993,26.9,54,2.00,48,0,3,2,0,1,2,0.07,1,0,0,0,0,1,Matches
Abdukodir Khusanov,280,uzUZB,DF,Manchester City,21-069,2004,5.6,5,0.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Abdul Fatawu Issahaku,175,ghGHA,FW,Leicester City,21-062,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-088,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
Adam Lallana,294,engENG,MF,Southampton,36-364,1988,4.0,9,2.24,8,0,0,0,1,0,2,0.50,2,0,0,0,0,0,Matches
Adam Smith,473,engENG,DF,Bournemouth,34-010,1991,15.7,20,1.28,15,1,1,0,2,1,2,0.13,1,0,0,0,1,0,Matches
Adam Webster,543,engENG,DF,Brighton,30-125,1995,6.9,10,1.46,8,2,0,0,0,0,3,0.44,2,1,0,0,0,0,Matches
Adam Wharton,547,engENG,MF,Crystal Palace,20-341,2004,14.6,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0,Matches
Adama Traoré,513,esESP,"FW,MF",Fulham,29-104,1996,17.7,76,4.30,61,0,9,4,0,2,9,0.51,8,0,1,0,0,0,Matches
Albert Grønbaek,214,dkDEN,"FW,MF",Southampton,23-351,2001,1.6,2,1.26,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Alejandro Garnacho,194,arARG,"MF,FW",Manchester Utd,20-312,2004,23.8,81,3.40,62,1,3,9,6,0,6,0.25,4,0,0,1,1,0,Matches
Alex Iwobi,251,ngNGA,"FW,MF",Fulham,29-006,1996,31.1,115,3.70,99,0,8,6,2,0,16,0.52,13,0,2,1,0,0,Matches
Alex McCarthy,338,engENG,GK,Southampton,35-157,1989,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Palmer,401,engENG,GK,Ipswich Town,28-272,1996,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Scott,458,engENG,MF,Bournemouth,21-261,2003,7.9,28,3.55,18,2,0,2,3,3,2,0.25,2,0,0,0,0,0,Matches
Alexander Isak,250,seSWE,FW,Newcastle Utd,25-230,1999,28.6,89,3.11,68,1,8,8,2,2,14,0.49,11,0,1,0,1,1,Matches
Alexis Mac Allister,314,arARG,MF,Liverpool,26-136,1998,28.6,119,4.16,82,24,2,6,2,3,15,0.52,10,3,0,2,0,0,Matches
Alfie Dorrington,145,engENG,DF,Tottenham,20-019,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
