Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-145,1989,7.5,2,0,0,3,2,0,28,8,5,0,0,0,29,7,6,53.8,Matches
Aaron Ramsdale,420,engENG,GK,Southampton,26-360,1998,27.0,2,0,0,1,4,0,0,2,0,0,0,0,20,5,0,100.0,Matches
Aaron Wan-Bissaka,537,engENG,DF,West Ham,27-164,1997,32.0,1,0,0,22,25,4,70,60,45,0,0,1,163,22,30,42.3,Matches
Abdoulaye Doucouré,146,mlMLI,MF,Everton,32-128,1993,26.9,5,1,1,46,5,10,23,9,27,0,0,0,139,29,43,40.3,Matches
Abdukodir Khusanov,280,uzUZB,DF,Manchester City,21-069,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Matches
Abdul Fatawu Issahaku,175,ghGHA,FW,Leicester City,21-062,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-088,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches
Adam Lallana,294,engENG,MF,Southampton,36-364,1988,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0,Matches
Adam Smith,473,engENG,DF,Bournemouth,34-010,1991,15.7,6,0,0,15,11,0,30,14,10,0,0,0,43,12,13,48.0,Matches
Adam Webster,543,engENG,DF,Brighton,30-125,1995,6.9,0,0,0,5,2,1,1,14,5,0,1,0,20,17,4,81.0,Matches
Adam Wharton,547,engENG,MF,Crystal Palace,20-341,2004,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4,Matches
Adama Traoré,513,esESP,"FW,MF",Fulham,29-104,1996,17.7,3,0,0,20,29,1,92,1,12,0,0,0,78,24,26,48.0,Matches
