Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-145,1989,7.5,415,509,81.5,7803,3045,189,206,91.7,173,198,87.4,51,96,53.1,0,1.1,1.3,-1.1,7,43,4,1,28,Matches
Aaron Ramsdale,420,engENG,GK,Southampton,26-360,1998,27.0,715,1106,64.6,20052,15538,199,200,99.5,276,287,96.2,234,606,38.6,0,0.0,0.1,0.0,0,33,1,0,0,Matches
Aaron Wan-Bissaka,537,engENG,DF,West Ham,27-164,1997,32.0,1321,1641,80.5,18817,6928,846,941,89.9,411,507,81.1,46,100,46.0,3,3.2,2.5,-0.2,30,89,32,11,132,Matches
Abdoulaye Doucouré,146,mlMLI,MF,Everton,32-128,1993,26.9,676,849,79.6,10229,2133,354,416,85.1,250,301,83.1,40,55,72.7,1,2.3,1.2,-1.3,26,44,14,0,78,Matches
Abdukodir Khusanov,280,uzUZB,DF,Manchester City,21-069,2004,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches
Abdul Fatawu Issahaku,175,ghGHA,FW,Leicester City,21-062,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-088,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
Adam Lallana,294,engENG,MF,Southampton,36-364,1988,4.0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,+1.1,4,21,9,3,24,Matches
Adam Smith,473,engENG,DF,Bournemouth,34-010,1991,15.7,436,576,75.7,7088,2372,213,242,88.0,182,233,78.1,27,72,37.5,0,0.3,0.4,-0.3,7,41,8,5,40,Matches
Adam Webster,543,engENG,DF,Brighton,30-125,1995,6.9,429,501,85.6,7934,3140,169,177,95.5,213,232,91.8,40,79,50.6,0,0.5,0.2,-0.5,3,32,2,0,40,Matches
Adam Wharton,547,engENG,MF,Crystal Palace,20-341,2004,14.6,548,725,75.6,10271,3780,208,252,82.5,258,322,80.1,70,107,65.4,2,3.0,2.2,-1.0,26,78,18,5,107,Matches
Adama Traoré,513,esESP,"FW,MF",Fulham,29-104,1996,17.7,386,536,72.0,6023,1529,214,263,81.4,130,177,73.4,27,49,55.1,6,4.7,4.4,+1.3,38,32,33,18,61,Matches
Albert Grønbaek,214,dkDEN,"FW,MF",Southampton,23-351,2001,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,N/a,0,0.0,0.0,0.0,1,2,0,0,1,Matches
Alejandro Garnacho,194,arARG,"MF,FW",Manchester Utd,20-312,2004,23.8,635,803,79.1,8921,1152,395,446,88.6,180,217,82.9,30,50,60.0,2,4.5,2.7,-2.5,35,21,24,4,56,Matches
Alex Iwobi,251,ngNGA,"FW,MF",Fulham,29-006,1996,31.1,1057,1420,74.4,18132,5331,526,613,85.8,419,539,77.7,93,173,53.8,6,6.9,6.7,-0.9,56,107,78,17,199,Matches
Alex McCarthy,338,engENG,GK,Southampton,35-157,1989,5.0,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Alex Palmer,401,engENG,GK,Ipswich Town,28-272,1996,11.0,241,356,67.7,7340,5386,46,48,95.8,107,107,100.0,88,201,43.8,0,0.0,0.0,0.0,1,7,0,0,1,Matches
Alex Scott,458,engENG,MF,Bournemouth,21-261,2003,7.9,265,319,83.1,4257,1298,131,148,88.5,102,111,91.9,20,33,60.6,0,0.8,0.9,-0.8,11,37,4,0,49,Matches
Alexander Isak,250,seSWE,FW,Newcastle Utd,25-230,1999,28.6,479,643,74.5,6849,1510,285,340,83.8,147,190,77.4,24,38,63.2,6,4.3,3.5,+1.7,41,33,26,1,80,Matches
Alexis Mac Allister,314,arARG,MF,Liverpool,26-136,1998,28.6,1260,1509,83.5,20147,5698,650,721,90.2,489,553,88.4,88,158,55.7,5,4.6,5.6,+0.4,44,121,34,2,174,Matches
Alfie Dorrington,145,engENG,DF,Tottenham,20-019,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Alfie Pond,415,engENG,DF,Wolves,21-069,2004,0.0,1,1,100.0,23,0,0,0,N/a,1,1,100.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ali Al Hamadi,225,iqIRQ,FW,Ipswich Town,23-069,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,N/a,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
Alisson,16,brBRA,GK,Liverpool,32-219,1992,24.9,681,815,83.6,14999,9692,205,207,99.0,360,365,98.6,115,239,48.1,0,0.6,0.2,-0.6,1,11,0,0,0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-071,1993,23.1,633,913,69.3,16971,11613,137,138,99.3,306,321,95.3,187,443,42.2,0,0.0,0.0,0.0,0,10,0,0,0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-025,1998,2.0,61,110,55.5,1625,873,7,7,100.0,35,38,92.1,19,63,30.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Amad Diallo,131,ciCIV,"FW,MF",Manchester Utd,22-302,2002,18.2,676,815,82.9,9329,1915,417,461,90.5,192,225,85.3,34,64,53.1,6,4.0,3.7,+2.0,40,25,30,5,55,Matches
Amadou Onana,392,beBEL,MF,Aston Villa,23-266,2001,15.3,607,686,88.5,9552,2430,312,331,94.3,255,284,89.8,27,37,73.0,0,0.3,0.6,-0.3,8,56,9,1,60,Matches
Andreas Pereira,407,brBRA,MF,Fulham,29-128,1996,20.9,641,931,68.9,11658,3703,296,354,83.6,245,313,78.3,87,212,41.0,4,4.5,4.3,-0.5,56,64,19,4,99,Matches
Andrew Robertson,433,sctSCO,DF,Liverpool,31-059,1994,25.6,1456,1754,83.0,24521,7781,713,758,94.1,623,718,86.8,103,220,46.8,0,4.1,3.9,-4.1,38,144,28,16,165,Matches
André,26,brBRA,MF,Wolves,23-297,2001,25.0,1111,1197,92.8,17503,4913,568,596,95.3,431,452,95.4,68,85,80.0,0,0.7,0.6,-0.7,15,101,4,0,95,Matches
André Onana,393,cmCMR,GK,Manchester Utd,29-037,1996,33.0,920,1259,73.1,21868,13211,218,220,99.1,511,516,99.0,186,513,36.3,0,0.2,0.2,-0.2,1,24,0,0,1,Matches
Andrés García,193,esESP,"DF,MF",Aston Villa,22-091,2003,3.5,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
Andy Irving,249,sctSCO,MF,West Ham,24-361,2000,1.8,109,124,87.9,1705,439,61,64,95.3,36,43,83.7,9,9,100.0,0,0.2,0.1,-0.2,1,14,1,1,9,Matches
Anthony Elanga,160,seSWE,"FW,MF",Nott'ham Forest,23-012,2002,24.8,479,735,65.2,6909,2292,289,349,82.8,127,198,64.1,38,115,33.0,9,4.8,4.2,+4.2,44,29,24,7,54,Matches
Anthony Gordon,208,engENG,FW,Newcastle Utd,24-074,2001,24.8,671,916,73.3,10367,3422,373,434,85.9,226,289,78.2,51,118,43.2,5,4.9,4.9,+0.1,50,61,52,17,93,Matches
Antoine Semenyo,461,ghGHA,FW,Bournemouth,25-122,2000,32.6,737,1007,73.2,10554,2740,442,522,84.7,235,307,76.5,32,83,38.6,5,5.8,4.2,-0.8,45,48,44,8,106,Matches
Antonee Robinson,434,usUSA,DF,Fulham,27-274,1997,33.2,1523,1987,76.6,26058,9482,732,844,86.7,644,815,79.0,128,227,56.4,10,4.1,4.0,+5.9,42,113,54,28,123,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-074,2000,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6,Matches
Antonín Kinský,283,czCZE,GK,Tottenham,22-057,2003,4.0,116,145,80.0,2699,1686,17,17,100.0,73,76,96.1,23,48,47.9,0,0.1,0.0,-0.1,1,2,0,0,1,Matches
Archie Gray,210,engENG,"DF,MF",Tottenham,19-058,2006,16.5,939,1065,88.2,16414,5046,360,390,92.3,511,551,92.7,55,93,59.1,0,0.1,0.2,-0.1,2,39,0,0,34,Matches
Arijanet Muric,366,xkKVX,GK,Ipswich Town,26-183,1998,18.0,454,633,71.7,11705,8247,122,122,100.0,215,221,97.3,115,283,40.6,0,0.0,0.0,0.0,0,14,0,0,1,Matches
Armando Broja,70,alALB,FW,Everton,23-241,2001,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-149,2001,3.7,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-223,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,N/a,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Ashley Young,564,engENG,"DF,FW",Everton,39-304,1985,18.0,610,873,69.9,11228,5051,292,332,88.0,237,312,76.0,75,186,40.3,3,1.6,1.9,+1.4,19,72,18,9,83,Matches
Axel Disasi,137,frFRA,DF,Aston Villa,27-059,1998,5.4,243,280,86.8,4080,1517,103,109,94.5,131,146,89.7,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,16,Matches
Axel Tuanzebe,520,cdCOD,DF,Ipswich Town,27-176,1997,16.1,538,648,83.0,8269,3189,296,325,91.1,207,253,81.8,23,41,56.1,1,0.3,0.2,+0.7,4,50,3,0,46,Matches
Ayden Heaven,230,engENG,DF,Manchester Utd,18-229,2006,1.1,40,49,81.6,695,185,14,17,82.4,24,27,88.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Bart Verbruggen,530,nlNED,GK,Brighton,22-264,2002,33.0,938,1219,76.9,22231,15102,267,269,99.3,442,450,98.2,224,488,45.9,1,0.0,0.0,+1.0,1,18,1,0,2,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-021,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-139,1996,1.5,45,69,65.2,618,155,26,31,83.9,16,25,64.0,1,9,11.1,0,0.2,0.3,-0.2,2,4,2,0,3,Matches
