Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-145,1989,7.5,0,3,0,0.0,0.40,0.00,0.00,N/a,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Aaron Ramsdale,420,engENG,GK,Southampton,26-360,1998,27.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Aaron Wan-Bissaka,537,engENG,DF,West Ham,27-164,1997,32.0,2,16,5,31.3,0.50,0.16,0.13,0.40,15.1,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
Abdoulaye Doucouré,146,mlMLI,MF,Everton,32-128,1993,26.9,3,29,9,31.0,1.08,0.33,0.10,0.33,13.8,0,0,0,3.9,3.9,0.13,-0.9,-0.9,Matches
Abdukodir Khusanov,280,uzUZB,DF,Manchester City,21-069,2004,5.6,0,1,0,0.0,0.18,0.00,0.00,N/a,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Abdul Fatawu Issahaku,175,ghGHA,FW,Leicester City,21-062,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-088,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches
Adam Lallana,294,engENG,MF,Southampton,36-364,1988,4.0,0,3,0,0.0,0.75,0.00,0.00,N/a,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Adam Smith,473,engENG,DF,Bournemouth,34-010,1991,15.7,0,3,0,0.0,0.19,0.00,0.00,N/a,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
Adam Webster,543,engENG,DF,Brighton,30-125,1995,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Adam Wharton,547,engENG,MF,Crystal Palace,20-341,2004,14.6,0,13,5,38.5,0.89,0.34,0.00,0.00,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Adama Traoré,513,esESP,"FW,MF",Fulham,29-104,1996,17.7,2,37,11,29.7,2.09,0.62,0.05,0.18,14.3,0,0,0,3.9,3.9,0.10,-1.9,-1.9,Matches
Albert Grønbaek,214,dkDEN,"FW,MF",Southampton,23-351,2001,1.6,0,2,0,0.0,1.26,0.00,0.00,N/a,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Alejandro Garnacho,194,arARG,"MF,FW",Manchester Utd,20-312,2004,23.8,6,83,29,34.9,3.48,1.22,0.07,0.21,17.2,0,0,0,7.2,7.2,0.09,-1.2,-1.2,Matches
Alex Iwobi,251,ngNGA,"FW,MF",Fulham,29-006,1996,31.1,9,63,28,44.4,2.03,0.90,0.14,0.32,18.2,0,0,0,4.6,4.6,0.07,+4.4,+4.4,Matches
Alex McCarthy,338,engENG,GK,Southampton,35-157,1989,5.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alex Palmer,401,engENG,GK,Ipswich Town,28-272,1996,11.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alex Scott,458,engENG,MF,Bournemouth,21-261,2003,7.9,0,13,5,38.5,1.65,0.63,0.00,0.00,20.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Alexander Isak,250,seSWE,FW,Newcastle Utd,25-230,1999,28.6,23,88,37,42.0,3.07,1.29,0.22,0.51,14.6,3,4,4,19.9,16.8,0.19,+3.1,+2.2,Matches
Alexis Mac Allister,314,arARG,MF,Liverpool,26-136,1998,28.6,5,38,13,34.2,1.33,0.45,0.13,0.38,18.1,1,0,0,2.8,2.8,0.07,+2.2,+2.2,Matches
Alfie Dorrington,145,engENG,DF,Tottenham,20-019,2005,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alfie Pond,415,engENG,DF,Wolves,21-069,2004,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ali Al Hamadi,225,iqIRQ,FW,Ipswich Town,23-069,2002,1.5,0,4,0,0.0,2.69,0.00,0.00,N/a,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Alisson,16,brBRA,GK,Liverpool,32-219,1992,24.9,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-071,1993,23.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-025,1998,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Amad Diallo,131,ciCIV,"FW,MF",Manchester Utd,22-302,2002,18.2,7,43,14,32.6,2.36,0.77,0.16,0.50,18.0,0,0,0,4.2,4.2,0.10,+2.8,+2.8,Matches
Amadou Onana,392,beBEL,MF,Aston Villa,23-266,2001,15.3,3,17,6,35.3,1.11,0.39,0.18,0.50,14.7,0,0,0,2.1,2.1,0.12,+0.9,+0.9,Matches
Andreas Pereira,407,brBRA,MF,Fulham,29-128,1996,20.9,2,35,8,22.9,1.68,0.38,0.06,0.25,22.1,6,0,1,3.5,2.7,0.08,-1.5,-0.7,Matches
Andrew Robertson,433,sctSCO,DF,Liverpool,31-059,1994,25.6,0,13,2,15.4,0.51,0.08,0.00,0.00,14.5,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
André,26,brBRA,MF,Wolves,23-297,2001,25.0,0,9,1,11.1,0.36,0.04,0.00,0.00,25.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
André Onana,393,cmCMR,GK,Manchester Utd,29-037,1996,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
